Tarea,Responsable,Vence,Estado,Carril,Prioridad,Descripción
Correr la migración 010 en Neon,Hernán,2026-08-10,Sin empezar,Accesos,Alta,"Saca de la base las columnas y tablas muertas. Correr PRIMERO el bloque PASO 1, que es de solo lectura y te dice qué hay antes de borrar nada. Si feedback, cobros o prospectos tienen filas, frená y avisá: prospectos con datos es pipeline de venta real. El archivo está en db/migrations/010_limpieza_base.sql. LISTO CUANDO: la consulta de comprobación del final devuelve 0 filas."
Cargar MONITOR_WEBHOOK_URL en Vercel,Hernán,2026-08-10,Sin empezar,Accesos,Alta,"El código de monitoreo ya está escrito, falta la variable. Sin ella, si el cron falla un domingo a las 9 el error se pierde y nadie se entera hasta que un cliente pregunta por qué su panel está congelado hace una semana. Sirve un webhook entrante de Slack o de Discord. LISTO CUANDO: forzás un error y llega el mensaje al canal."
Verificar NEXT_PUBLIC_BASE_URL en Vercel,Hernán,2026-08-10,Sin empezar,Accesos,Alta,"CRÍTICA Y BLOQUEANTE. El QR de cada cartel codifica esta variable. Si no está cargada en producción, el código cae al host del request y los carteles impresos quedan apuntando a una URL que muere. Cincuenta carteles mal impresos son cincuenta a la basura y no se arregla con un commit. Simón NO puede mandar nada a imprenta hasta que confirmes esto. LISTO CUANDO: avisaste en #lanzamiento-17-agosto que dice app.metricsfield.com."
Verificar las variables SMTP en Vercel,Hernán,2026-08-10,Sin empezar,Accesos,Media,"Las alertas de reseña mala y el resumen mensual dependen de SMTP_HOST, SMTP_PORT, SMTP_USER, SMTP_PASS y EMAIL_FROM. Si no están cargadas no se manda nada Y NO FALLA NADA: simplemente no llegan, en silencio. Funciona con cualquier Gmail usando una contraseña de aplicación. LISTO CUANDO: confirmaste que están, o las cargaste."
Cambiar el cron para que use un cursor,Hernán,2026-08-10,Sin empezar,Producto,Alta,"Con Claude. Hoy el cron hace SELECT de toda la cartera sin ORDER BY ni LIMIT, con tope de 60 segundos. A los 60-80 clientes el proceso se corta a la mitad y, como el orden es estable, quedan sin sincronizar siempre los mismos. Es el único techo que rompe el producto al crecer. El cambio: cada corrida toma los N más desactualizados por google_sync_en y avanza. Va a main."
Mandar 5 WhatsApps de prueba,Hernán,2026-08-10,Sin empezar,Comercial,Alta,"Solo 5, no 30. El mensaje llega con el panel ya armado y los números reales del prospecto adentro, y no pide nada. Medí cuántos abren el link y cuántos contestan. Si de 5 no contesta ninguno, el mensaje está mal: reescribilo antes de quemar los otros 25. LISTO CUANDO: mandaste los 5 y anotaste cuántos respondieron."
Enviar la verificación OAuth a Google,Hernán,2026-08-11,Sin empezar,Producto,Media,"Con el video que graba Luis. Necesita el dominio verificado en Search Console con la misma cuenta dueña del proyecto de Google Cloud, y una justificación específica de cada scope (lo genérico es lo que más rechazos genera). No bloquea nada de esta semana, pero la revisión es humana y tarda semanas: cuanto antes arranque el reloj, mejor."
Enviar la solicitud de Business Profile APIs,Hernán,2026-08-11,Sin empezar,Producto,Media,"Es un trámite SEPARADO del de verificación OAuth, aunque se pidan en el mismo lugar. Los dos relojes tienen que arrancar el mismo día. Es lo que habilita traer visitas, llamadas y clics de cómo llegar de la ficha del cliente."
Mandar la propuesta RADAR a 3 cadenas,Hernán,2026-08-11,Sin empezar,Comercial,Media,"180.000 por sucursal, pago único. El PDF ya está escrito y el multi-sucursal ya está construido en el producto. Una cadena de 20 locales son 3.600.000 con un solo interlocutor. No golpees la puerta: mandalo por escrito a operaciones o franquicias. Ciclo de semanas, por eso se arranca ahora y corre en paralelo."
Partir lib/db.ts por dominio,Hernán,2026-08-12,Sin empezar,Producto,Media,"Con Claude. 1.561 líneas y 65 funciones en un archivo. Se separa en db/comercios.ts, db/links.ts, db/taps.ts, db/resenas.ts, db/competencia.ts, db/sync.ts y db/admin.ts, dejando lib/db.ts reexportando todo para que los 25 archivos que lo importan no se toquen. Es mecánico, pero solo es seguro porque David deja los tests antes. Va a la rama desarrollo."
